Rat_name,Rat_ID,DOB,Sex,Genotype,start_date,end_date,HL_date,Assigned_Filename,Assigned_Experiment,Assigned_Phase,Assigned_Task,Assigned_Detail,Persistent_Comment,Max_Weight,Old_Assigned_Filename,Old_Assigned_Experiment,Old_Assigned_Phase,Old_Assigned_Task,Old_Assigned_Detail
LP4,197,20220613,Male,Fmr1-LE_KO,20220831,NA,NA,NA,NA,NA,NA,NA,"16, 8, 4, 32 kHz",502,16kHz_40-70dB_50ms_16s,Fmr1-LE,Tones,TH,Alone
LP5,196,20220613,Male,Fmr1-LE_WT,20220831,NA,NA,NA,NA,NA,NA,NA,"8, 16, 4, 32 kHz",530,BBN_20-80dB_50-300ms_8s,Fmr1-LE,BBN,Rxn,Mixed
LP6,198,20220613,Male,Fmr1-LE_KO,20220831,NA,NA,NA,NA,NA,NA,NA,"8, 16, 4, 32 kHz",529,8kHz_60-90dB_50ms_8s,Fmr1-LE,Tones,Rxn,Alone
Purple1,209,20220613,Male,Fmr1-LE_WT,20220912,NA,NA,NA,NA,NA,NA,NA,"32, 4, 8, 16 kHz",492,32kHz_30-90dB_50ms_4s,Fmr1-LE,Tones,Rxn,Alone
Purple2,210,20220613,Male,Fmr1-LE_KO,20220912,NA,NA,NA,NA,NA,NA,NA,"32, 4, 8, 16 kHz",546,32kHz_60-90dB_50ms_4s,Fmr1-LE,Tones,Training,Alone
Purple3,213,20220613,Male,Fmr1-LE_KO,20220919,NA,NA,NA,NA,NA,NA,NA,NA,474,BBN_30-90dB_50ms_16s,Fmr1-LE,BBN,Training,Alone
Purple4,215,20220613,Male,Fmr1-LE_WT,20220919,NA,NA,NA,NA,NA,NA,NA,NA,531,BBN_10-70dB_50-300ms_8s,Fmr1-LE,BBN,TH,Mixed
Red1,251,20220916,Male,SD,20230110,NA,NA,NA,NA,NA,NA,NA,NA,354,gap_60dB_1-4s_0catch,GD,Gap Detection,Training,None
Red2,252,20220916,Male,SD,20230110,NA,NA,NA,NA,NA,NA,NA,NA,386,gap_60dB_1-4s_0catch,GD,Gap Detection,Training,None
Red3,253,20220916,Male,SD,20230110,NA,NA,NA,NA,NA,NA,NA,NA,403,gap_60dB_1-4s_0catch,GD,Gap Detection,Training,None
Red4,254,20220916,Male,SD,20230110,NA,NA,NA,NA,NA,NA,NA,NA,337,gap_60dB_1-4s_0catch,GD,Gap Detection,Training,None
Red5,255,20220916,Male,SD,20230110,NA,NA,NA,NA,NA,NA,NA,NA,367,gap_60dB_1-4s_0catch,GD,Gap Detection,Training,None
Red6,256,20220916,Male,SD,20230110,NA,NA,NA,NA,NA,NA,NA,NA,350,gap_60dB_1-4s_0catch,GD,Gap Detection,Training,None
